model,seed,RMSE,MAE,MAPE(%),MASE,RMSSE,mean_RMSE,mean_MAE,mean_MAPE(%),mean_MASE,mean_RMSSE,std_RMSE,std_MAE,std_MAPE(%)
ROCKET,1,4489.065165481205,3792.6733376916873,19.81288679810069,1.4736619414859475,1.2514746690324923,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,2,3698.256667180612,3161.814484931201,16.580058554289362,1.2285386210766986,1.031010771272895,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,3,4073.007775129132,3157.8929042355107,16.871336615560857,1.2270148715451288,1.1354849772603148,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,4,4683.540361076928,3828.2485328242688,20.224792257881383,1.487484859111574,1.3056910308074714,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,5,4666.874625488976,3953.3003431878037,20.74884602726978,1.536074357135366,1.3010449084723594,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,6,4730.588319986328,4010.9799887630493,20.993097642868705,1.5584860680617731,1.318807197901135,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,7,3785.5890233156742,2910.554097296645,15.496943893766607,1.1309101575387845,1.055357540023408,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,8,4299.251315212756,3460.8439634590745,18.379502693430894,1.344728000612643,1.1985578106921149,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,9,4987.4827478877405,4160.2721569637915,21.91514833644836,1.6164942767447952,1.3904249751627284,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,10,4522.189707045429,3727.259613507958,19.668241160978514,1.4482451161499985,1.2607092252625298,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
ROCKET,MEAN,4393.5846,3616.3839,19.0691,1.4052,1.2249,4393.5846,3616.3839,19.0691,1.4052,1.2249,401.9343,399.0648,2.0281
LSTM-FCN,1,3635.5306949460887,3127.4852701822915,15.977604501641576,1.2151998352778255,1.0135238419350077,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
LSTM-FCN,2,2755.1960130101133,2218.8536783854165,11.348892647271853,0.8621465463600387,0.7681015738010252,4013.7845,3158.8792,15.7155,1.2274,1.119,979.8735,707.9365,3.2014
